AHBA_acro,ROI,Full_name,structureOrder, PV_M_mean , PV_M_SD , PV_F_mean , PV_F_SD , SST_M_mean , SST_M_SD , SST_F_mean , SST_F_SD , VIP_M_mean , VIP_M_SD , VIP_F_mean , VIP_F_SD , SSTCR_mean , SSTCR_SD , SSTnNOS_mean , SSTnNOS_SD , VIPCR_mean , VIPCR_SD , VIPCCK_mean , VIPCCK_SD 
,AOBmi,"Accessory olfactory bulb, mitral layer",30900,209.67,94.02,211.55,97.92,1874.8,184.24,2055.48,190.99,662.81,91.15,1003.49,134.68,359.16,161.06,16.04,8.51,86.21,22.39,27.73,4.45
,AON,Anterior olfactory nucleus,31000,629.85,236.08,681.85,260.59,3818.29,259.21,4371.22,350.08,890.65,67.78,992.2,93.25,236.97,105.68,386.29,83.63,340.48,77.88,273.41,144.75
,AONd,"Anterior olfactory nucleus, dorsal part",31100,399.21,86.88,387.53,146.17,4295.71,685.53,5517.65,932.19,647.47,81.1,653.3,63.88,58.02,30.54,78.85,39.81,253.66,54.35,152.29,57.68
,AONe,"Anterior olfactory nucleus, external part",31200,1993.12,1197.49,2243.34,1167.71,2386.19,313.85,2838.04,266.35,960.83,314.25,1080.42,314.81,176.45,117.69,65.12,37.79,220.51,77.76,94.13,15.35
,AONl,"Anterior olfactory nucleus, lateral part",31300,397.55,67.42,415.28,88.36,3546.86,311.93,4188.11,531.93,648.65,54.34,596.18,79.64,51.59,30.53,27.86,9.84,193.33,39.4,142.36,27.85
,AONm,"Anterior olfactory nucleus, medial part",31400,169.61,55.78,221.32,101.47,6635.74,273.21,7196.26,403.49,1253.5,105.03,1311.88,143.05,112.17,27.82,235.08,63.46,269.64,77.92,117.07,46.82
,AONpv,"Anterior olfactory nucleus, posteroventral part",31500,808.42,94.97,871.01,127.45,7831.14,444.98,8950.01,697.49,1037.9,75.75,1060.8,156.29,100.99,22.59,168.36,33.86,245.69,58.67,135.93,19.54
,AON1,"Anterior olfactory nucleus, layer 1",31600,566.56,274.62,579.36,268.66,1710.2,255.94,1990.86,268.42,835.86,119.1,1049.85,146.81,430.47,203.34,762.3,182.95,510.54,197.66,482.19,342.87
,TT,Taenia tecta,31800,716.91,145.19,748.81,117.04,5289.63,252.54,5754.81,236.82,1442.49,133.29,1563.37,140.4,264.58,75.53,201.58,51.39,367.14,97.95,143.57,20.21
,TTd1,"Taenia tecta, dorsal part, layer 1",32100,221.48,100.04,209.7,87.64,1441.73,232.82,1601.67,299.78,1616.68,220.92,1849.02,382.41,262.94,75.25,334.49,154.64,441.35,123.11,248.66,106.94
,TTd2,"Taenia tecta, dorsal part, layer 2",32200,734.65,125.24,779.65,134.13,5553.19,294.54,6148.51,186.84,1729.75,150.18,1795.49,128.37,238.16,43.21,116.33,51.96,486.28,179.66,142.27,37.65
,TTd3,"Taenia tecta, dorsal part, layer 3",32300,1238.66,269.44,1343.17,191.25,9113.23,301.52,9121.27,248.73,1055,75.7,1120.58,150.19,373.41,132.68,261.6,103.19,300.02,103.9,68.56,28.21
,TTd4,"Taenia tecta, dorsal part, layer 4",32400,911.49,331.9,965.97,143.42,11457.2,1180.17,12749.48,364.39,646.02,71.57,643.46,92.16,354.69,192.03,222.65,95.19,193.68,60.92,60.04,61.16
,TTv1,"Taenia tecta, ventral part, layer 1",32700,453.07,401.73,286.85,319.78,1775.24,483.53,2298.16,772.78,1149.5,450.57,1454.7,169.2,168.86,143.97,197.46,206.47,191.89,96.71,115.39,49.67
,TTv2,"Taenia tecta, ventral part, layer 2",32800,642.21,85.18,715.82,137.61,2811.37,769.63,3627.89,1216.72,2119,253.28,2213.56,171,111.35,69.54,43.83,39.4,366.34,163.79,178.73,35.67
,TTv3,"Taenia tecta, ventral part, layer 3",32900,827.95,130.26,997.96,188.4,5613.49,1387.07,6979.09,777.72,1553.26,251.5,1536,171.59,293.07,125.11,97.52,75.69,393.74,150.08,162.8,63.15
,DP,Dorsal peduncular area,33000,1405.49,187.33,1402.9,167.8,6227.95,333.04,6602.97,179.34,1473.04,156.05,1470.8,223.17,276.55,119.26,238.85,39.25,428.83,189.69,123.81,22.11
,DP1,"Dorsal peduncular area, layer 1",33100,191.94,97.67,156.91,103.2,841.32,287.03,1030.86,543,2027.59,415.28,2184.26,630.75,124.62,93.53,210.18,162.79,364.95,177.49,187.53,22.93
,DP2/3,"Dorsal peduncular area, layer 2/3",33300,1615.94,340.35,1574.88,391.03,4684.34,299.48,5040.84,328.62,1836.84,190.19,1815.76,204.61,288.97,95.59,201.62,71.11,586.93,285.2,142.26,15.89
,DP5,"Dorsal peduncular area, layer 5",33400,2401.01,335.94,2338.85,185.73,10229.41,314.66,10277.61,625.39,899.38,128.05,806.23,105.87,366.6,160.96,261.88,51.86,364.82,190.67,54.51,9.03
,DP6a,"Dorsal peduncular area, layer 6",33500,439.58,207.91,712.58,138.25,10871.17,1921.36,12286.78,1505.98,841.72,277.22,794.81,162.02,290.93,239.38,352.2,75.19,262.43,72.77,130.45,195.26
,PIR,Piriform area,33600,669.17,98.08,718.34,101.15,4375.86,98.85,4886.33,323.39,895.21,80.32,925.61,30.63,107.82,24.79,56.55,14.72,214.18,61.11,91.22,4.5
,PIR1,"Piriform area, molecular layer",33800,103.02,38.07,106.86,39.53,1116.56,127.76,1287.29,170.94,301.75,44.77,390.28,54.86,22.34,11.38,21.46,7.19,100.59,27.96,64.67,16.93
,PIR2,"Piriform area, pyramidal layer",33900,842.8,114.33,958.08,178.56,4669.4,314.26,5452.68,467.72,1823.01,136.86,1820.34,122.31,53.95,15.77,22.35,7.55,425.28,130.53,169.41,21.79
,PIR3,"Piriform area, polymorph layer",34000,1125.42,163.71,1168.22,118.61,7557.26,191.4,8215.07,405.72,756.4,94.73,754.66,56.12,241.89,51.03,121.43,32.01,160.14,46.73,55.06,13.76
,NLOT,Nucleus of the lateral olfactory tract,34100,187.47,61.47,195.15,79.2,5920.56,426.65,6220.65,184.62,1048.37,122.49,1035.9,113.92,584.49,109.02,25.66,8.01,116.4,33.36,33.91,10.58
,NLOT1,"Nucleus of the lateral olfactory tract, molecular layer",34300,88.78,32.49,65.7,37.85,4144.37,608.65,4106.53,474.54,515.34,104.3,493.8,110.94,443.32,79.11,2.55,4.42,48.6,20.22,19.22,13.81
,NLOT2,"Nucleus of the lateral olfactory tract, pyramidal layer",34400,156.64,89.33,184.01,121.27,4607.47,128.48,4696.71,336.24,1379.69,142.69,1358.62,257.89,346.79,136.04,22.09,11.59,166.34,63.66,41.41,14.56
,NLOT3,"Nucleus of the lateral olfactory tract, layer 3",34500,412.82,148.63,437.3,135.45,11077.06,996.46,12150,430.61,1508.79,180.52,1510.64,294.25,1188.04,294.39,71.04,24.87,161.2,81.83,48.74,17.5
COMA,COA,Cortical amygdalar area,34600,228.93,47.41,302.39,87.29,7278.3,599.57,7622.58,220.55,1794.23,170.04,2013.87,91.59,582.63,99.64,50.46,29.73,241.21,101.65,67.18,4.54
,COAa,"Cortical amygdalar area, anterior part",34700,81.68,28.22,100,29.72,10255.89,631.62,11996.79,877.69,587.99,70.47,611.37,42.12,579.98,119.8,51.54,29.44,90.34,31.97,33.89,18.07
,COAa1,"Cortical amygdalar area, anterior part, layer 1",34800,42.57,18.95,59.39,29.64,4945.68,701.42,5481.98,759.98,104.71,33.02,114.5,46.55,219.98,133.11,6.89,5.99,12.52,8.95,14.41,8.68
,COAa2,"Cortical amygdalar area, anterior part, layer 2",34900,115.83,37.86,135.06,40.81,14881.96,554.27,17658.78,1088.35,1005.87,122.71,1040.54,67.03,891.2,109.27,89.7,55.34,157.24,58.82,50.57,27.12
,COAp,"Cortical amygdalar area, posterior part",35100,269.35,53.32,358.41,105.2,6492.38,680.24,6475.21,375.3,2108.03,197.44,2381.68,116.75,583.44,104.47,50.19,29.8,280.34,120.27,75.82,9.21
,COApl,"Cortical amygdalar area, posterior part, lateral zone",35200,323.68,54.01,430.62,92.49,6997.62,779.05,6767.96,705.55,1754.66,152.41,1985.41,164.71,626.14,120.99,54.17,27.11,238.83,102.09,68.98,15.99
,COApl1,"Cortical amygdalar area, posterior part, lateral zone, layer 1",35500,41.82,19.99,84.69,19.36,2403.96,407.8,2444.67,201.55,150.64,82.52,294.89,111.47,84.96,44.95,4.1,4.01,78.24,3.56,68.97,27.56
,COApl2,"Cortical amygdalar area, posterior part, lateral zone, layer 2",35600,333.22,39.64,460.92,88.87,9849.51,1286.69,9144.89,1346.51,1930.11,298.26,2437.51,254.28,638.75,154.88,43.76,23.77,323.46,122.07,86.2,13.39
,COApl3,"Cortical amygdalar area, posterior part, lateral zone, layer 3",35700,519.49,100.32,659.16,165.92,7924.1,706.65,7869.2,643.49,2753.89,384.16,2818.45,324.41,1003.67,210.19,99.05,49.81,282.81,156.24,54.62,28.33
,COApm,"Cortical amygdalar area, posterior part, medial zone",35800,218.04,53.53,289.44,120.72,6016.79,655.6,6194.91,72.87,2442.6,241.74,2759.21,94.23,544.18,97.83,46.5,32.66,319.03,138.06,82.13,8.97
,COApm1,"Cortical amygdalar area, posterior part, medial zone, layer 1",36100,27.01,24.86,55.83,39.2,2330.48,679.09,2659.31,378.55,290.37,41.01,524.11,63.19,197.43,35.18,11.53,10.14,92.54,43.47,65.17,32
,COApm2,"Cortical amygdalar area, posterior part, medial zone, layer 2",36200,159.55,46.76,237.43,121.76,5884.61,761.51,5846.68,224.54,1894.73,416.13,2546.76,272.25,523.4,98.1,46.84,37.25,367.01,144.75,139.02,12.18
,COApm3,"Cortical amygdalar area, posterior part, medial zone, layer 3",36300,322.84,78.47,409.44,158.74,7592.48,683.46,7780.37,204.89,3567.82,297.47,3759.6,172.08,695.77,150.66,60.39,43.12,389.5,177.55,63.5,8.76
ATZ,PAA,Piriform0amygdalar area,36400,574.73,79.74,609.46,105.25,3858.66,141.15,4027.56,246.49,1841.26,184.86,1942.45,198.37,209.02,49.24,39.56,25.46,290.35,129.47,84.75,6.86
,PAA1,"Piriform0amygdalar area, molecular layer",36600,46.09,13.14,106.32,34.63,1263.71,189.34,1277.88,138.09,212.79,141.48,325.84,117.65,16.15,7.04,5.59,9.68,51.8,22.05,67.68,13.05
,PAA2,"Piriform0amygdalar area, pyramidal layer",36700,825.83,134.54,914.4,159.75,4181.01,240.81,4517.41,260.34,2877.15,793.99,3094.78,644.69,120.85,78.44,26.82,16.06,480.16,237.98,112.62,10.63
,PAA3,"Piriform0amygdalar area, polymorph layer",36800,978.26,168.6,936.56,185.67,6595.69,220.94,6822.96,492.01,2833.5,545.56,2843.05,394.73,510.15,120.01,89.86,54.94,405.14,218.18,80.93,7.26
,TR,Postpiriform transition area,36900,475.55,61.95,539.73,129.34,4374.96,297.72,4615.59,135.19,2164.69,201.84,2274.71,81.58,272.21,47.53,111.48,56.2,280.97,128.24,55.4,2.29
,TR1,"Postpiriform transition area, layers 1",37100,50.47,35.76,103.56,88.62,1915.24,328.85,1869.7,204.33,802.94,194.56,925.94,286.68,51.3,26.92,30.55,17.27,160.07,54,57.87,14.69
,TR2,"Postpiriform transition area, layers 2",37200,464.84,39.73,535.16,169.02,4979.03,482.84,5263.42,261.27,3434.3,269.21,3592.42,196.48,179.59,66.52,113.92,65.92,393.38,202.29,78.71,12.1
,TR3,"Postpiriform transition area, layers 3",37300,828.63,137.99,903.53,167.95,6051.54,437.74,6472.59,299.27,2525.65,342.46,2603.33,277.51,510.24,70.44,176.2,84.23,313.34,148.71,39.69,11.13
,HPF,Hippocampal formation,37400,1480.03,118.66,1460.19,164.05,4402.38,231.42,4707.28,277.54,1059.64,110.34,1131.68,65.82,144.34,26.39,22.79,7.44,186.84,95.06,26.38,5.65
,HIP,Hippocampal region,37500,789.29,75.11,789.4,117.39,2605.03,158.17,2848.19,194.42,570.8,70.5,624.53,45.77,67.78,18.61,6.12,1.47,77.29,35.66,8.77,2.28
,CA,Ammon's horn,37600,993.57,92.23,992.87,149.49,2940.48,151.33,3195.31,273.51,638.06,80.42,699.88,62.71,88,25.55,7.66,1.11,80.94,36.14,9.44,2.85
CA4,CA1,Field CA1,37700,898.22,83.22,888.59,133.21,2457.71,169.74,2740.42,264.45,820.75,97.16,896.54,69.45,108.95,33.18,11.8,1.7,112.78,49.85,13.58,4.79
,CA1slm,"Field CA1, stratum lacunosum0moleculare",37800,16.62,4.19,14.81,7.08,230.88,65.57,228.27,20.95,657.01,56.07,594.73,123.96,6.23,1.61,5.59,1.77,86.34,47.98,16.37,1.82
,CA1so,"Field CA1, stratum oriens",37900,1711.48,191.22,1787.44,298.69,5209.74,594.3,5664.33,549.62,437.59,103.66,595.99,120.37,275.46,85.95,21.08,3.17,67.98,41.28,4.68,3.5
,CA1sp,"Field CA1, pyramidal layer",38000,2099.82,163.77,2007.96,287.92,5123.82,246.44,5827.81,656.9,1379,133.81,1527.31,124.85,188.78,56.28,16.89,3.85,198.26,92.54,18.6,11.7
,CA1sr,"Field CA1, stratum radiatum",38100,264.47,29.17,246.63,47.11,770.29,69.23,853.54,74.99,824.54,118.41,912.63,88.84,33.89,16.04,7.47,0.08,104.87,45.03,13.61,4.67
CA2,CA2,Field CA2,38200,1342.42,163.25,1361.92,212.56,1759.93,317.34,1982.93,190.04,545.73,86.71,635.02,71.22,94.61,28.17,0.72,1.24,49.07,27.11,6.98,3.42
,CA2slm,"Field CA2, stratum lacunosum0moleculare",38300,91.47,18.88,109.99,44.3,325.4,97.56,340.24,102.1,305.52,73.86,286.5,103.09,2.17,4.33,0,0,44.91,31.57,5.53,9.57
,CA2so,"Field CA2, stratum oriens",38400,1994.43,333.81,2298.57,627.13,3564.59,557.67,4192.13,385.81,328.56,114.83,468.17,93.68,282.18,114.29,0,0,45.38,34.82,12.55,15.63
,CA2sp,"Field CA2, pyramidal layer",38500,3262.84,348.71,3030.16,319.69,2644.8,639.31,2913.6,417.16,1172.02,187.85,1354.9,156.19,94.25,16.44,4.05,7.01,78.22,42.03,5.86,10.15
,CA2sr,"Field CA2, stratum radiatum",38600,672.02,105.19,605.88,131.48,894.82,270.15,915.23,108.88,555.04,99.04,629.24,141.82,13.26,5.24,0,0,39.12,14.83,4.06,3.52
CA3,CA3,Field CA3,38700,1098.49,107.56,1108.34,167.29,3815.43,173.26,4035.64,322.18,367.01,55.76,402.89,59.46,55.51,17.21,2.15,0.35,36.83,17.78,3.09,0.12
,CA3slm,"Field CA3, stratum lacunosum0moleculare",38800,96.22,56.14,106.78,52.42,337.59,499.83,266.35,379.34,140.77,39.75,146.52,66.63,0,0,0,0,4.85,9.69,5.95,10.3
,CA3slu,"Field CA3, stratum lucidum",38900,937.69,112.27,906.32,77.28,4165.67,336.4,4334.81,353.91,529.22,110.17,692.23,133.43,48.48,19.39,0,0,59.1,27.07,8.68,5.82
,CA3so,"Field CA3, stratum oriens",39000,1450.71,143.05,1524.95,254.86,3802.2,391.74,4168.11,420.55,243.32,57.21,250.85,57.2,63.87,21.36,3.02,0.2,21.26,10.19,1.64,1.72
,CA3sp,"Field CA3, pyramidal layer",39100,1396.83,131.29,1339.74,234.66,5166.56,122.1,5482.29,415.8,465.68,58.98,502.67,73.28,80.6,27.16,3.32,1.48,36.2,16.31,4.53,0.15
,CA3sr,"Field CA3, stratum radiatum",39200,378.22,56.52,384.45,21.26,2419.63,420.35,2358,229.54,395.53,65.41,441.48,52.98,20.72,5.81,0.28,0.49,54.45,28.32,1.98,1.33
,DG,Dentate gyrus,39300,273.67,30.17,281.39,40.57,1781.49,338.97,1997.19,105.47,361.96,47.46,395.34,28.07,17.73,5.32,1.87,2.07,63.27,32.7,5.42,0.76
,DG0mo,"Dentate gyrus, molecular layer",39400,81.38,15.56,87.94,12.8,501.11,280.37,582.5,126.18,141.48,28.95,180.39,56.39,10.44,7.03,1.24,1.18,33.99,15.93,3.74,1.68
,DG0po,"Dentate gyrus, polymorph layer",39500,659.5,58.56,671.09,108.22,6678.7,512.72,7394.02,325.1,929.99,139.85,947.42,144.05,38.63,19.89,6.42,8.67,141.74,78,11.3,7.99
,DG0sg,"Dentate gyrus, granule cell layer",39600,550.3,78.01,559.84,82.27,2227.64,519.12,2512.97,235.03,605.9,51.56,635,109.79,24.03,9.24,0.66,0.57,91.32,48.71,6.22,1.08
,FC,Fasciola cinerea,41000,1635.68,285.42,1504.44,216.41,2581.51,679.9,2439.04,326.25,1263.55,130.78,985.02,263.39,64.97,38.21,0,0,128.01,98.15,5.72,9.92
,IG,Induseum griseum,41100,956.17,351.19,931.86,171.38,2843.92,446.13,2709.95,452.33,3954.03,447.63,4242.37,437.17,154.75,59.84,57.48,59.83,616.04,267.86,186.69,51.23
,RHP,Retrohippocampal region,41200,2219.76,175.33,2163.83,225,6357.03,308.41,6727.58,342.22,1589.95,160.29,1689.57,86.37,225.07,45.59,39.72,13.41,302.47,157.43,44.99,9.45
,ENT,Entorhinal area,41300,1318.66,142.58,1328.65,186.51,6405.82,513.43,6591.39,285.13,1392.1,133.43,1457.97,82.07,211.53,59.59,55.05,20.38,261.04,148.25,48.23,9.68
,ENTl,"Entorhinal area, lateral part",41350,1075.25,131.16,1146.78,165.07,5965.72,423.15,6131.35,175.1,1359.58,114.87,1402.7,78.73,243.54,53.65,67.24,22.29,280.56,140.55,56.3,4.91
,ENTl1,"Entorhinal area, lateral part, layer 1",41400,65.15,41.35,61.11,35.86,794.97,262.02,753.97,215.7,339.92,72.24,399.54,84.64,32.92,13.97,1.43,1.72,87.17,29.91,30.91,3.01
,ENTl2,"Entorhinal area, lateral part, layer 2",41500,635.44,197.98,635.89,330.38,4334.46,616.34,4263.14,481.75,2637.25,326.09,2841.23,274.75,50.35,67.04,0,0,562.31,194.37,201.27,81.84
,ENTl2/3,"Entorhinal area, lateral part, layer 2/3",41600,1768.81,266.16,1871.99,310.31,4073.57,369.39,4188.24,310.51,1828.94,171.93,1964.07,197.66,330.51,59.19,26.9,20.41,456.28,213.19,199.82,68.38
,ENTl2a,"Entorhinal area, lateral part, layer 2a",41700,464.75,88.42,616.32,108.49,3793.98,576.79,3776.2,308.45,2043.27,192.47,2214.01,196.07,110.7,55.36,8.32,1.12,396.6,208.66,100.38,14.47
,ENTl2b,"Entorhinal area, lateral part, layer 2b",41800,893.95,118.34,1005.69,204.83,5646.31,538.37,5559.09,231.4,2719.08,256.21,2797.77,224.48,245.73,99.17,20.8,8.49,461.18,243.14,80.03,11.62
,ENTl3,"Entorhinal area, lateral part, layer 3",41900,1712.14,191.26,1802.22,282.14,6575.49,729.95,6618.84,235.15,1759.21,210.53,1714.62,100.96,368.58,109.11,32.16,18.58,339.56,174.33,68.23,19.79
,ENTl4,"Entorhinal area, lateral part, layer 4",42000,1668.3,246.73,1800.4,256.56,7836.96,733.43,7979.49,219.04,1236.3,121.65,1224.33,111.91,524.28,109.2,67.39,45.78,255.38,127.33,36.35,9.05
,ENTl4/5,"Entorhinal area, lateral part, layer 4/5",42100,1147.31,128.46,1265.07,229.53,5881.15,477.63,6131.56,382.25,812.99,134.41,920.63,81.01,347.31,92.53,166.94,84.66,265.37,88.59,64.07,12.81
,ENTl5,"Entorhinal area, lateral part, layer 5",42200,1793.8,193.64,1885.17,224.07,9691.33,557.2,9920,227.38,1166.22,113.97,1192.36,117.8,382.49,68.55,116.75,46.94,269.87,155.52,37.76,7.13
,ENTl6a,"Entorhinal area, lateral part, layer 6",42400,1189.87,190.89,1225.92,205.37,9066.12,326.61,9703.62,256.99,1082.57,83.33,1088.7,41.6,201.41,43.12,182.5,41.13,248.65,130.62,31.76,4.97
,ENTm,"Entorhinal area, medial part, dorsal zone",42700,2072.57,193.47,1916.87,315.5,7546.57,950.55,7722.53,648.45,1334.51,165.54,1414.62,172.01,122.12,83.43,22.31,13.5,194.97,174.92,25.2,21.03
,ENTm1,"Entorhinal area, medial part, dorsal zone, layer 1",42800,463.55,171.78,329.18,182.89,1633.71,850.03,1460.96,428.87,575.53,239.84,589.98,181.35,28.07,20.75,3.28,2.85,70.14,62.14,31.24,28.94
,ENTm2,"Entorhinal area, medial part, dorsal zone, layer 2",42900,2999.57,313.09,2751.93,501.33,7193,1177.21,7443.38,1205,1944.34,266.17,2051.57,307.03,111.77,107.17,5,6.19,261,316.91,33.33,37.75
,ENTm2a,"Entorhinal area, medial part, dorsal zone, layer 2a",43000,48.22,69.99,95.65,98.72,9924.95,3346.33,9276.48,2439.78,1314.52,313.07,1509.99,590.54,148.29,104.23,23.83,41.28,323.74,277.59,107.58,99.17
,ENTm2b,"Entorhinal area, medial part, dorsal zone, layer 2b",43100,18.59,41.56,112.33,34.81,11875.38,1283.81,13283.45,680.88,2174.29,434.07,2214.35,525.88,286.86,211.56,0,0,350.77,308.93,27.29,47.27
,ENTm3,"Entorhinal area, medial part, dorsal zone, layer 3",43200,3555.08,294.62,3177.04,505.26,10224.04,1345,10189.57,844.52,1679.6,236.97,1796.93,252.03,145.82,142.04,7.2,7.14,222.44,237.49,16.99,7.76
,ENTm4,"Entorhinal area, medial part, dorsal zone, layer 4",43300,2967.39,408.4,3086.45,264.03,15252.31,2316.53,14887.98,620.05,1099.58,142.73,1128.41,223.54,187.03,167.64,15.83,15.49,237.27,158.26,9.14,15.84
,ENTm5,"Entorhinal area, medial part, dorsal zone, layer 5",43400,2056.31,316.94,2204.17,419.62,15450.17,789.85,16330.82,908.89,1205.48,136.47,1285.1,166.22,219.83,117.1,58.63,54.83,209.22,111.59,16.82,9.81
,ENTm6,"Entorhinal area, medial part, dorsal zone, layer 6",43600,939.65,206.96,1040.33,270.28,9186.21,1216.02,10087.17,708.89,1102.43,111.83,1199.07,77.93,219.06,81.11,104.39,42.34,232.21,123.99,14.78,8.2
,ENTmv,"Entorhinal area, medial part, ventral zone",43700,95.63,35.35,147.46,77.17,7005.58,680.82,7736.13,663.2,2828.89,364.25,3400.24,129.31,275.47,161.92,63.76,43.73,395.92,204.74,67.26,27.49
,ENTmv1,"Entorhinal area, medial part, ventral zone, layer 1",43800,30.35,14.61,90.59,68.79,3242.52,720.49,3518.42,363.96,1430.04,355.84,2145.59,396.75,173.18,151.65,9.81,16.99,340.68,156.08,75.69,44.26
,ENTmv2,"Entorhinal area, medial part, ventral zone, layer 2",43900,152.7,53.52,204.9,103.5,8887.52,924.71,9828.13,925.78,4121.59,481.85,4584.26,213.85,343.98,180.97,103.71,80.25,472.92,274.1,68.68,9.94
,ENTmv3,"Entorhinal area, medial part, ventral zone, layer 3",44000,148.76,73.7,179.98,114.08,14722.8,858.33,16733.2,1654.85,3875.7,618.11,4280.45,629.25,443.65,243.13,121.03,55.92,360.94,225.23,33.42,33.48
,ENTmv5/6,"Entorhinal area, medial part, ventral zone, layer 5/6",44200,306.12,684.51,0,0,18824.6,2066.09,10856.4,4666.14,1423.78,1458.42,2475,2110.52,282.26,564.52,432.1,748.42,0,0,0,0
,PAR,Parasubiculum,44300,3868.35,381.26,3707.75,303.97,6576.93,297.82,7406.26,903.13,2720.75,277.7,2848.71,321.88,252.98,151.12,11.23,8.72,471.53,307.87,59.06,40.37
,PAR2,"Parasubiculum, layer 2",44500,4101.25,441.59,3806.67,287.18,4372.24,462.27,5066.56,887.13,3130.51,348.08,3190.67,360.78,177.59,108.39,3.74,1.74,490.48,333.5,65.26,49.91
,PAR3,"Parasubiculum, layer 3",44600,3143.07,400.62,3399.33,510.86,13063.91,359.08,14267.16,956.46,1522.88,190.47,1857.49,340.5,476.35,280.17,32.85,30.06,416.07,237.12,41.67,13.57
,POST,Postsubiculum,44700,4062.85,445.14,3767.3,557.85,6176.22,780.99,6812.46,565.05,2668.59,322.89,2870.98,165.57,329.57,56.38,32.11,15.67,535.78,258.38,60.3,11.19
,POST1,"Postsubiculum, layer 1",44800,817.72,123.69,777.6,220.14,2826.57,742.6,2826.54,247.01,1181.69,165.54,1162.8,403.28,86.18,39.27,29.13,11.52,258.5,172.83,51.45,38.97
,POST2,"Postsubiculum, layer 2",44900,1172.62,636.19,534.96,352.33,1197.39,625.12,2294.18,1198.64,2742.19,1466.99,1844.29,1339.56,0,0,0,0,281.61,563.22,91.68,158.8
,POST3,"Postsubiculum, layer 3",45000,5498.43,571.74,5092.49,719.1,7685.45,816.93,8579.12,686.17,3292.04,442.05,3606.14,157.94,440.42,82.02,33.83,17.69,658.57,320.37,63.29,18.48
,PRE,Presubiculum,45100,4304.71,387.38,4098.41,336.63,5639.21,316.16,6662.68,663.2,2690.49,382.9,2924.15,145.13,291.66,60.57,11.31,5.86,515.52,259.66,58.71,20.38
,PRE2,"Presubiculum, layer 2",45300,3874.8,289.8,3648.2,278.41,3780.89,535.24,4703.05,990.76,3144.61,454.64,3297.45,253.15,207.8,42.88,2.75,1.96,545.18,276.35,61.53,22.29
,PRE3,"Presubiculum, layer 3",45400,5270.08,883.85,5103.36,731.71,9682.69,788.82,10907.54,812.97,1728.18,261.05,2139.64,239.49,474.52,107.1,29.59,16.02,450.96,244.7,53.14,23.9
S,SUB,Subiculum,45500,2790.13,180.95,2741.14,323.52,6406.82,134.88,6863.94,473.41,1314.14,134.48,1435.1,75.82,212.38,49.65,22.15,3.23,262.2,116.96,30.79,2.98
,SUBd,"Subiculum, dorsal part",45600,3940.26,146.68,3793.34,383.8,3599.46,440.61,3974.79,409.09,1078.15,90.81,1201.4,83.74,190.91,41.69,19.27,6.36,228.87,100.38,27.63,9.44
,SUBd0m,"Subiculum, dorsal part, molecular layer",45700,148.09,53.46,146,33.39,362.25,171.91,281.79,101.76,699.07,100.15,530.58,192.27,17.15,13.16,3.82,6.62,151.78,101.14,26.64,8.84
,SUBd0sp,"Subiculum, dorsal part, pyramidal layer",45800,5747.09,212.79,5551.21,573.16,5075.22,643.88,5678.04,557.38,987.55,109.88,1232.41,139.39,255.33,53.53,18.99,4.69,222.79,97.92,25.48,10.15
,SUBd0sr,"Subiculum, dorsal part, stratum radiatum",45900,351.94,73.33,365.49,60.28,860.75,289.9,760.92,176.33,1758.29,135.98,1660.64,265.08,97.49,43.42,33.83,23.49,317.69,173.6,36.72,17.19
,SUBv,"Subiculum, ventral part",46000,2350.88,185.73,2343.36,299.89,7463.3,204.73,7949.27,501.3,1403.6,151.92,1523.74,90.54,220.22,54.04,23.15,2.33,273.86,122.75,31.83,1.17
,SUBv0m,"Subiculum, ventral part, molecular layer",46100,44.53,10.6,52.48,17.64,762.39,301.07,789.89,182.96,1036.88,218.4,1014.59,220.36,28.48,16.01,0.63,1.09,127.57,61.35,31.51,8.9
,SUBv0sp,"Subiculum, ventral part, pyramidal layer",46200,3384.3,267.14,3355.93,433.39,10143.52,196,10826.89,595.35,1353.95,110.14,1506.93,103.19,303.26,67.77,30.48,5.63,311.25,140.4,29.54,1.72
,SUBv0sr,"Subiculum, ventral part, stratum radiatum",46300,175.44,35.7,181.32,33.5,2553.63,658.03,2688.97,471.21,2223,304.49,2369.11,286.44,59.8,40.28,16.54,11.19,289.35,133.09,44.79,8.37
,CTXsp,Cortical subplate,46400,820.21,115.99,880.68,132.38,7614.44,369.09,8097.12,353.56,1138.57,101.99,1170.82,75.68,624.94,106.16,165.71,42.8,222.84,98.32,46.27,6.7
,CLA,Claustrum,46600,1091.73,135.53,1090.5,136.83,5154.4,501.94,5368.23,330.31,860.93,82.44,904,83.39,145.32,43.98,234.45,51,243.99,93.67,64.95,6.94
,EP,Endopiriform nucleus,46700,572.25,112.15,598.03,76.07,8134.34,477.8,8975.97,445.25,406.33,39.91,431.57,29.1,302.08,63.69,196.82,43.93,129.08,47.39,36.7,9.08
,EPd,"Endopiriform nucleus, dorsal part",46800,633.99,123.73,660.26,88.55,7780.89,484.55,8554.24,482.23,356.21,34.54,399.64,28.9,229.43,46.4,187.86,39.18,127.13,42.52,37.25,7.45
